nombre,apellido,edad,genero,pais_origen,estado_civil,num_integrantes_familia,dependientes_menores,profesion,sector_industrial,categoria_profesional,nivel_educativo,tipo_contrato,anos_experiencia,meses_empresa_actual,ingresos_anuales,dinero_banco,deudas_totales,invertido_bolsa,invertido_cripto,invertido_propiedades,patrimonio_neto,score_crediticio,gastos_mensuales,renta_pasiva,ratio_deuda_ingreso,interes_compra_dubai,motivo_compra,presupuesto_max,zona_preferida
Sara,Pérez,33,Mujer,Argentina,Casado,3,3,Ingeniero Civil,Telecomunicaciones,Mid-Level,Licenciatura,Permanente,11,30,54381,41718,18361,40193,10731,135448,209729,669,1620,0,33.76,Bajo,Inversión,935945,Zona Sur-Inversión
Javier,Suárez,33,Hombre,USA (Miami),Soltero,2,0,Gerente de Proyecto,Retail,Senior,Bachillerato,Permanente,12,86,83573,32880,94649,35624,0,419944,393799,600,1650,0,113.25,Bajo,Mixto,1345534,Zona Residencial-Accesible
Carmen,Díaz,31,Mujer,España,Casado,2,3,Farmacéutico,Legal,Senior,Master,Permanente,9,36,123602,23424,27323,0,23233,0,19334,745,3230,0,22.11,Medio,Residencia,672182,Zona Tech-Educación
Carlos,Ortiz,33,Hombre,España,Casado,4,1,Desarrollador,Consultoría,Senior,Master,Permanente,11,77,115778,81661,83683,57650,0,0,55628,550,3221,0,72.28,Bajo,Inversión,1382498,Zona Residencial-Accesible
Carlos,Sánchez,33,Hombre,España,Divorciado,2,2,Contador,Energía,Senior,Licenciatura,Permanente,12,70,95567,53922,71274,37697,0,0,20345,551,2682,0,74.58,Medio,Residencia,1105399,Zona Centro-Negocios
Elena,Romero,33,Mujer,España,Casado,4,1,Marketing Manager,Automotriz,Senior,PhD,Permanente,11,80,90016,22103,33785,133574,0,0,121892,670,1512,0,37.53,Bajo,Residencia,741712,Zona Sur-Inversión
Rosa,Ruiz,31,Mujer,España,Casado,4,1,Diseñador,Telecomunicaciones,Senior,Master,Permanente,8,100,99181,34537,9770,0,0,0,24767,604,2440,0,9.85,Bajo,Vacacional,746260,Zona Sur-Inversión
Carlos,Rodríguez,56,Hombre,México,Casado,4,2,Data Scientist,Salud,Director,Master,Permanente,35,160,157254,207191,92946,309495,0,0,423740,720,3524,0,59.11,Medio,Mixto,2270666,Zona Centro-Negocios
Rafael,Blanco,31,Hombre,España,Divorciado,1,2,Empresario,Construcción,Mid-Level,Licenciatura,Permanente,10,25,62670,11795,8277,0,0,122981,126499,681,1629,0,13.21,Alto,Inversión,379726,Zona Tech-Educación
Alberto,Navarro,31,Hombre,España,Soltero,1,0,Arquitecto,Construcción,Senior,Master,Temporal,8,147,77701,15111,15812,1536,0,0,835,654,1513,0,20.35,Medio,Residencia,541807,Zona Tech-Educación
Antonio,Sánchez,33,Hombre,España,Soltero,2,0,Gerente de Proyecto,Construcción,Director,PhD,Permanente,12,52,164148,189064,93784,102993,95087,479432,772792,614,3127,45021,57.13,Alto,Vacacional,3516709,Zona Costa-Premium
Andrea,Ramírez,33,Mujer,Venezuela,Casado,4,0,Arquitecto,Tecnología,Director,Master,Permanente,12,121,142319,91347,68473,0,0,0,22874,756,4231,29383,48.11,Bajo,Inversión,1146565,Zona Centro-Negocios
Daniel,Ruiz,31,Hombre,México,Casado,4,3,Ingeniero Software,Automotriz,Mid-Level,Licenciatura,Permanente,8,174,47169,21613,33691,36400,1398,0,25720,550,1068,11897,71.43,Bajo,Inversión,265043,Zona Residencial-Accesible
Sergio,Gutiérrez,33,Hombre,USA (Miami),Casado,1,2,Chef Ejecutivo,Inmobiliario,Senior,Licenciatura,Permanente,12,109,86987,51498,83458,32987,21009,199043,221079,664,1517,0,95.94,Medio,Inversión,932033,Zona Sur-Inversión
Pedro,Díaz,56,Hombre,España,Casado,2,2,Chef Ejecutivo,Salud,Director,Licenciatura,Permanente,34,18,161906,88502,172535,340078,0,0,256045,651,5233,0,106.56,Bajo,Mixto,2370059,Zona Centro-Negocios
Lucía,Martín,33,Mujer,Chile,Soltero,4,0,Director Comercial,Telecomunicaciones,Mid-Level,Licenciatura,Permanente,11,122,63878,30756,18591,60993,0,0,73158,640,1806,0,29.1,Medio,Vacacional,596062,Zona Residencial-Accesible
Raquel,Domínguez,33,No-binario,España,Soltero,1,0,Ingeniero Civil,Energía,Senior,Licenciatura,Permanente,12,88,87952,85172,68175,0,25734,0,42731,613,2895,0,77.51,Medio,Inversión,926510,Zona Sur-Inversión
Andrés,Suárez,31,Hombre,España,Divorciado,6,2,Farmacéutico,Turismo,Mid-Level,Licenciatura,Permanente,8,115,62580,24637,22386,0,16402,0,18653,561,1067,0,35.77,Bajo,Residencia,383871,Zona Sur-Inversión
Clara,Molina,33,Mujer,Colombia,Soltero,2,0,Abogado,Tecnología,Mid-Level,Licenciatura,Temporal,11,67,64533,20225,28421,33311,30138,336061,391314,736,1563,0,44.04,Medio,Mixto,1377065,Zona Residencial-Accesible
Daniel,Martín,56,Hombre,Colombia,Casado,5,1,Chef Ejecutivo,Energía,Director,PhD,Freelance,34,74,184238,160283,135306,230630,0,0,255607,753,4649,0,73.44,Bajo,Inversión,2104211,Zona Centro-Negocios
Carlos,Alonso,33,Hombre,Uruguay,Casado,2,2,Arquitecto,Alimentación,Senior,Master,Permanente,10,175,115799,91348,40232,139443,0,0,190559,702,2717,0,34.74,Alto,Vacacional,961006,Zona Residencial-Accesible
María,Alonso,56,Mujer,Chile,Soltero,2,0,Médico,Turismo,Director,Licenciatura,Freelance,34,24,151605,196896,128774,305248,0,0,373370,616,3278,29859,84.94,Medio,Vacacional,2156130,Zona Sur-Inversión
Lucía,Domínguez,33,Mujer,España,Soltero,2,0,Piloto,Finanzas,Senior,Master,Permanente,11,151,113921,37043,52243,39424,0,376469,400693,725,2014,9699,45.86,Medio,Inversión,1229493,Zona Sur-Inversión
Mónica,Castro,56,Mujer,España,Soltero,4,0,Gerente de Proyecto,Construcción,Director,Bachillerato,Permanente,35,152,111767,137918,56602,151865,0,515785,748966,680,2232,0,50.64,Alto,Residencia,3432319,Zona Costa-Premium
Raquel,Gutiérrez,56,Mujer,México,Casado,2,1,Empresario,Energía,Director,PhD,Permanente,35,31,162795,64712,158708,131045,58199,1272684,1367932,615,4376,0,97.49,Medio,Residencia,5000000,Zona Costa-Premium
José,Fernández,56,Hombre,España,Soltero,3,0,Consultor,Alimentación,Director,Master,Permanente,34,56,133210,157083,60033,265404,33663,0,396117,769,2434,0,45.07,Medio,Inversión,2271101,Zona Sur-Inversión
Teresa,Ortiz,61,Mujer,Chile,Soltero,2,0,Director Comercial,Energía,Director,Master,Permanente,40,146,145009,232861,35296,264619,0,810233,1272417,757,2990,0,24.34,Alto,Residencia,5000000,Zona Costa-Premium
Javier,García,33,Hombre,México,Soltero,5,0,Médico,Legal,Senior,Licenciatura,Permanente,12,142,95053,39723,45832,124171,0,0,118062,601,1781,0,48.22,Bajo,Inversión,808618,Zona Sur-Inversión
Sofía,Hernández,61,Mujer,Venezuela,Soltero,1,0,Product Manager,Inmobiliario,Director,Licenciatura,Permanente,40,146,115262,116587,57668,241944,0,0,300863,701,3152,0,50.03,Medio,Inversión,1737576,Zona Costa-Premium
Andrés,González,33,Hombre,México,Soltero,2,0,Farmacéutico,Finanzas,Senior,Master,Freelance,11,73,79390,38035,71019,108567,13557,299486,388626,550,2378,0,89.46,Medio,Inversión,1256654,Zona Residencial-Accesible
Marta,Ruiz,56,Mujer,México,Soltero,1,0,Gerente de Proyecto,Construcción,Director,Master,Temporal,34,36,178887,195043,129188,132988,0,818876,1017719,620,4129,40234,72.22,Alto,Vacacional,5000000,Zona Centro-Negocios
Miguel,Blanco,31,Hombre,España,Soltero,3,0,Contador,Finanzas,Mid-Level,Bachillerato,Freelance,8,150,33491,8279,28086,8614,9016,0,-2177,550,966,3760,83.86,Medio,Inversión,171264,Zona Tech-Educación
Alberto,Molina,56,Hombre,España,Casado,2,1,Contador,Aeroespacial,Director,Licenciatura,Permanente,34,79,163906,104158,165499,132697,0,671372,742728,586,3572,0,100.97,Alto,Inversión,4221381,Zona Costa-Premium
María,Rodríguez,56,Mujer,Chile,Soltero,1,0,Product Manager,Energía,Director,Licenciatura,Permanente,34,87,157339,110420,82383,269205,0,0,297242,570,3984,0,52.36,Medio,Inversión,2238048,Zona Centro-Negocios
Manuel,Torres,31,Hombre,Uruguay,Casado,4,0,Data Scientist,Energía,Mid-Level,Licenciatura,Permanente,8,56,60236,25183,29024,0,10015,0,6174,568,1512,14953,48.18,Bajo,Vacacional,352652,Zona Tech-Educación
Pablo,Torres,56,Hombre,España,Casado,2,2,Analista Financiero,Energía,Director,Licenciatura,Permanente,35,58,150256,126988,71462,114694,0,937124,1107344,769,4109,0,47.56,Alto,Mixto,5000000,Zona Costa-Premium
Jorge,Molina,56,Hombre,Chile,Divorciado,2,2,Consultor,Alimentación,Director,Licenciatura,Permanente,33,152,137780,133152,67416,273092,0,0,338828,735,4392,0,48.93,Alto,Inversión,1957451,Zona Costa-Premium
Rafael,Díaz,31,Hombre,Argentina,Soltero,2,0,Profesor Universitario,Automotriz,Senior,Master,Permanente,8,143,99367,63771,25813,0,0,0,37958,779,2299,0,25.98,Medio,Mixto,729525,Zona Centro-Negocios
Ricardo,Blanco,33,Hombre,Venezuela,Soltero,2,0,Ingeniero Civil,Legal,Director,Master,Temporal,12,49,158600,62412,45551,173473,0,0,190334,749,4837,0,28.72,Alto,Mixto,1827645,Zona Centro-Negocios
José,Gómez,33,Hombre,España,Divorciado,1,3,Profesor Universitario,Tecnología,Director,PhD,Temporal,12,66,114271,86573,81127,89042,0,0,94488,710,2004,0,71.0,Medio,Residencia,1351350,Zona Centro-Negocios
Raquel,Castro,33,Mujer,México,Casado,4,0,Marketing Manager,Aeroespacial,Mid-Level,Licenciatura,Permanente,10,146,66038,61396,13828,93039,16017,324742,481366,622,1948,10719,20.94,Alto,Mixto,2071442,Zona Centro-Negocios
Luis,Ramírez,31,Hombre,España,Soltero,2,0,Director Comercial,Educación,Senior,PhD,Permanente,8,116,126411,27831,12314,98279,16096,0,129892,717,2351,0,9.74,Alto,Inversión,896041,Zona Residencial-Accesible
Isabel,Martín,31,Mujer,México,Soltero,3,0,Empresario,Tecnología,Senior,Master,Permanente,9,82,94420,37456,30933,27714,0,0,34237,607,2606,0,32.76,Medio,Vacacional,595500,Zona Residencial-Accesible
Clara,Ramos,31,Mujer,España,Divorciado,1,1,Gerente de Proyecto,Telecomunicaciones,Mid-Level,Licenciatura,Permanente,10,150,46318,12832,10794,5018,5311,0,12367,678,1112,0,23.3,Bajo,Inversión,308456,Zona Tech-Educación
Manuel,Ortiz,31,Hombre,México,Soltero,2,0,Ingeniero Civil,Automotriz,Senior,Master,Permanente,9,141,85735,52100,19773,52505,20786,0,105618,632,2309,0,23.06,Alto,Inversión,660428,Zona Sur-Inversión
Andrea,Jiménez,31,Mujer,Argentina,Divorciado,5,2,Abogado,Legal,Senior,Master,Permanente,10,129,91036,15764,31166,32882,13916,322576,353972,609,2568,0,34.23,Alto,Vacacional,860520,Zona Centro-Negocios
Antonio,Gómez,56,Hombre,España,Divorciado,2,2,Farmacéutico,Consultoría,Director,Licenciatura,Permanente,33,130,103402,42866,70332,125591,35444,870997,1004566,593,3286,0,68.02,Alto,Inversión,4247200,Zona Centro-Negocios
Lucía,Sánchez,33,Mujer,Colombia,Soltero,1,0,Contador,Tecnología,Senior,Licenciatura,Temporal,12,87,90510,29191,83359,0,0,251813,197645,686,1944,0,92.1,Alto,Inversión,792012,Zona Centro-Negocios
Miguel,Sánchez,56,Hombre,Colombia,Casado,1,2,Farmacéutico,Telecomunicaciones,Director,Licenciatura,Permanente,33,179,102842,129662,174394,192828,0,0,148096,550,2182,0,169.57,Medio,Mixto,1383013,Zona Centro-Negocios
Alberto,Rubio,31,Hombre,USA (Miami),Casado,4,1,Ingeniero Civil,Retail,Senior,Master,Permanente,10,109,105669,40847,42646,71233,0,0,69434,633,3169,0,40.36,Bajo,Inversión,778090,Zona Residencial-Accesible
Carmen,Alonso,33,Mujer,España,Casado,1,2,Abogado,Aeroespacial,Director,Master,Permanente,12,28,151178,33708,31548,80629,0,826628,909417,766,4936,0,20.87,Medio,Residencia,3126320,Zona Centro-Negocios
Teresa,Gutiérrez,33,Mujer,España,Casado,6,0,Consultor,Alimentación,Senior,Licenciatura,Permanente,12,19,102126,116762,78983,0,0,315581,353360,550,2247,0,77.34,Medio,Inversión,1693422,Zona Costa-Premium
Marta,Ramos,56,Mujer,México,Soltero,1,0,Médico,Telecomunicaciones,Director,Master,Permanente,33,150,136698,90574,146011,261859,0,1130369,1336791,675,2817,0,106.81,Alto,Inversión,5000000,Zona Costa-Premium
Alejandro,López,56,Hombre,España,Casado,2,2,Gerente de Proyecto,Consultoría,Director,Licenciatura,Temporal,35,47,161656,183659,64745,269233,31653,0,419800,837,3428,0,40.05,Alto,Residencia,2380362,Zona Costa-Premium
Lucía,Blanco,56,Mujer,Argentina,Soltero,2,0,Director Comercial,Consultoría,Director,Licenciatura,Temporal,34,46,141930,252921,53165,139500,0,1216773,1556029,714,4654,0,37.46,Alto,Inversión,5000000,Zona Costa-Premium
Alejandro,Ramírez,31,Hombre,España,Divorciado,1,0,Marketing Manager,Inmobiliario,Senior,Master,Permanente,10,119,66686,38168,11837,0,15198,0,41529,695,2207,0,17.75,Bajo,Residencia,451978,Zona Tech-Educación
Luis,Ramos,56,Hombre,España,Casado,3,0,Diseñador,Consultoría,Director,PhD,Permanente,34,4,156391,94832,109564,359810,77798,0,422876,698,3939,0,70.06,Medio,Inversión,2447717,Zona Centro-Negocios
Pedro,Moreno,33,Hombre,España,Soltero,3,0,Desarrollador,Energía,Mid-Level,Licenciatura,Permanente,10,173,70410,57038,49559,0,0,0,7479,550,2165,17542,70.39,Bajo,Mixto,641265,Zona Residencial-Accesible
Teresa,Fernández,56,Mujer,España,Soltero,3,0,Empresario,Tecnología,Director,Licenciatura,Permanente,33,15,165930,195688,86505,103340,0,0,212523,580,5087,0,52.13,Alto,Residencia,2302419,Zona Centro-Negocios
Fernando,Díaz,33,Hombre,Venezuela,Divorciado,2,2,Chef Ejecutivo,Legal,Senior,Licenciatura,Permanente,12,130,88650,61005,37465,0,31156,0,54696,743,2313,8671,42.26,Bajo,Inversión,832896,Zona Sur-Inversión
Ricardo,Muñoz,33,Hombre,Uruguay,Soltero,4,0,Desarrollador,Turismo,Senior,Licenciatura,Permanente,12,52,93266,50539,70214,20989,54924,0,56238,689,2922,0,75.28,Medio,Inversión,796262,Zona Tech-Educación
Sara,Navarro,31,Mujer,México,Divorciado,3,1,Diseñador,Construcción,Mid-Level,Licenciatura,Permanente,9,149,46311,19516,21913,3185,1495,0,2283,711,1347,12124,47.32,Bajo,Residencia,266442,Zona Tech-Educación
Daniel,Álvarez,56,Hombre,España,Soltero,1,0,Abogado,Alimentación,Director,Licenciatura,Temporal,35,67,116061,93304,177516,253914,0,443072,612774,692,3506,0,152.95,Alto,Inversión,2598768,Zona Centro-Negocios
Francisco,Gil,31,Hombre,Perú,Casado,2,0,Director Comercial,Consultoría,Senior,Master,Permanente,10,68,89230,54490,27542,6506,7040,0,40494,773,2690,0,30.87,Medio,Inversión,448059,Zona Residencial-Accesible
Rafael,Gómez,31,Hombre,Perú,Divorciado,1,1,Ingeniero Software,Telecomunicaciones,Mid-Level,Licenciatura,Permanente,9,69,52148,11700,8572,0,14943,0,18071,565,1533,0,16.44,Bajo,Residencia,324926,Zona Tech-Educación
Raquel,Rodríguez,31,Mujer,USA (Miami),Soltero,1,0,Contador,Salud,Senior,PhD,Temporal,10,76,119440,94539,36196,59357,0,0,117700,762,2347,0,30.3,Medio,Residencia,807947,Zona Centro-Negocios
Pedro,Moreno,61,Hombre,México,Soltero,3,0,Data Scientist,Retail,Director,Licenciatura,Permanente,39,63,96934,183087,56810,167357,0,534834,828468,644,2504,0,58.61,Medio,Inversión,4338450,Zona Costa-Premium
Miguel,Vázquez,33,Hombre,España,Divorciado,3,0,Consultor,Salud,Mid-Level,Licenciatura,Temporal,10,96,40010,30284,44256,0,0,0,-13972,566,1126,0,110.61,Bajo,Inversión,403798,Zona Residencial-Accesible
Andrea,Díaz,56,Mujer,España,Casado,3,1,Data Scientist,Construcción,C-Level,PhD,Permanente,35,32,253087,275021,79084,574533,0,0,770470,720,6767,0,31.25,Medio,Residencia,4391081,Zona Centro-Negocios
Ana,Martínez,61,Mujer,USA (Miami),Casado,3,0,Consultor,Automotriz,Director,Licenciatura,Temporal,39,66,136125,234430,53278,165797,0,1143380,1490329,781,3840,0,39.14,Alto,Inversión,5000000,Zona Costa-Premium
Andrés,Romero,61,Hombre,USA (Miami),Casado,2,0,Data Scientist,Consultoría,Director,Master,Permanente,38,80,135768,206942,39320,162767,0,0,330389,677,2856,0,28.96,Medio,Inversión,1757953,Zona Centro-Negocios
Sofía,Torres,56,Mujer,España,Casado,2,0,Arquitecto,Salud,Director,Licenciatura,Permanente,34,131,149259,256788,112161,165589,24668,0,334884,603,2598,0,75.15,Medio,Residencia,1867035,Zona Centro-Negocios
Isabel,Romero,56,Mujer,España,Casado,3,1,Chef Ejecutivo,Telecomunicaciones,Director,Bachillerato,Permanente,35,25,88515,59660,66486,184599,0,0,177773,550,2557,0,75.11,Bajo,Residencia,999846,Zona Residencial-Accesible
Laura,Rodríguez,31,Mujer,Argentina,Casado,1,0,Profesor Universitario,Legal,Senior,PhD,Freelance,9,70,137547,31493,23832,0,24378,0,32039,602,4538,0,17.33,Medio,Residencia,740066,Zona Sur-Inversión
Javier,Castro,31,Hombre,Chile,Casado,4,1,Ingeniero Civil,Retail,Mid-Level,Licenciatura,Permanente,8,46,50066,8071,33684,1222,1519,0,-22872,619,1281,0,67.28,Bajo,Mixto,391921,Zona Tech-Educación
Lucía,Muñoz,33,Mujer,Colombia,Soltero,2,0,Médico,Inmobiliario,Director,Master,Permanente,12,89,130888,115155,87063,0,0,0,28092,631,2232,0,66.52,Bajo,Inversión,1347858,Zona Sur-Inversión
Elena,García,33,Mujer,Argentina,Divorciado,3,1,Chef Ejecutivo,Energía,Director,Master,Temporal,12,92,136281,68948,91255,49357,0,0,27050,561,3785,0,66.96,Medio,Inversión,1189903,Zona Sur-Inversión
Alberto,Gómez,31,Hombre,España,Casado,6,2,Director Comercial,Automotriz,Senior,Master,Temporal,10,4,114431,54642,28401,0,15182,0,41423,635,3203,22358,24.82,Bajo,Inversión,722976,Zona Sur-Inversión
Francisco,Hernández,56,Hombre,España,Soltero,2,0,Profesor Universitario,Telecomunicaciones,Director,Master,Freelance,33,130,121167,71233,162257,228340,0,0,137316,550,3488,0,133.91,Medio,Residencia,1243969,Zona Sur-Inversión
Rafael,Suárez,33,Hombre,Colombia,Casado,1,2,Consultor,Telecomunicaciones,Director,Master,Permanente,12,175,141778,78493,97032,58239,0,0,39700,653,2380,28164,68.44,Bajo,Residencia,1302967,Zona Sur-Inversión
Pedro,Molina,56,Hombre,Chile,Casado,1,2,Farmacéutico,Aeroespacial,Director,Licenciatura,Permanente,33,108,111741,57740,138630,276730,0,0,195840,643,2626,0,124.06,Bajo,Mixto,1194129,Zona Sur-Inversión
Laura,Domínguez,33,Mujer,España,Casado,1,1,Product Manager,Automotriz,Senior,Master,Permanente,10,46,69062,45158,90059,56226,0,0,11325,585,1388,0,130.4,Bajo,Inversión,708470,Zona Centro-Negocios
Luis,Serrano,33,Hombre,España,Viudo,4,0,Piloto,Legal,Mid-Level,Licenciatura,Permanente,11,123,50618,29956,52841,0,0,0,-22885,550,1060,0,104.39,Bajo,Inversión,454431,Zona Residencial-Accesible
Alejandro,Martín,33,Hombre,Argentina,Soltero,2,0,Director Comercial,Aeroespacial,Mid-Level,Bachillerato,Permanente,10,114,34856,17925,27211,26311,0,173605,190630,650,720,6610,78.07,Medio,Vacacional,675035,Zona Centro-Negocios
Laura,Ramos,33,Mujer,España,Divorciado,1,1,Analista Financiero,Finanzas,Senior,PhD,Permanente,11,142,136229,29302,86432,146949,0,280459,370278,601,2612,0,63.45,Medio,Inversión,1683077,Zona Costa-Premium
Pedro,Gil,61,Hombre,México,Soltero,3,0,Médico,Automotriz,Director,Licenciatura,Temporal,40,132,101980,129268,40716,250357,0,434309,773218,614,1823,11612,39.93,Alto,Inversión,4632412,Zona Costa-Premium
Mónica,Gil,31,Mujer,Argentina,Casado,2,1,Chef Ejecutivo,Alimentación,Mid-Level,Licenciatura,Temporal,9,50,70986,26930,36593,51799,0,0,42136,643,1465,0,51.55,Medio,Mixto,487588,Zona Residencial-Accesible
Javier,Hernández,33,Hombre,Colombia,Casado,3,2,Empresario,Telecomunicaciones,Mid-Level,Bachillerato,Permanente,10,57,45630,29654,16827,33734,0,0,46561,722,780,0,36.88,Bajo,Mixto,461227,Zona Centro-Negocios
José,Muñoz,56,Hombre,Chile,Soltero,2,0,Empresario,Alimentación,C-Level,PhD,Permanente,34,173,199869,395848,167177,449346,75073,0,753090,599,5440,0,83.64,Medio,Vacacional,3442511,Zona Centro-Negocios
Javier,Fernández,33,Hombre,España,Casado,2,1,Piloto,Construcción,Senior,Licenciatura,Permanente,12,97,73052,41367,79030,7348,0,0,-30315,550,1402,18450,108.18,Bajo,Inversión,635620,Zona Centro-Negocios
Javier,Domínguez,31,Hombre,México,Casado,2,1,Diseñador,Energía,Senior,Master,Permanente,9,16,88747,35657,17294,0,6412,0,24775,746,1847,0,19.49,Medio,Residencia,492983,Zona Residencial-Accesible
Antonio,Jiménez,31,Hombre,España,Soltero,2,0,Empresario,Alimentación,Senior,Master,Permanente,10,39,105391,56370,33115,18299,0,0,41554,687,1934,0,31.42,Bajo,Residencia,727510,Zona Residencial-Accesible
Sara,Ruiz,31,Mujer,Chile,Soltero,4,0,Arquitecto,Inmobiliario,Mid-Level,Bachillerato,Permanente,8,136,52742,31508,32360,8444,10918,0,18510,550,1371,0,61.36,Medio,Inversión,292047,Zona Tech-Educación
Mónica,Gómez,33,Mujer,Chile,Casado,1,2,Empresario,Retail,Director,Master,Temporal,12,46,120979,95661,66432,12875,67026,292696,401826,550,3182,10590,54.91,Alto,Vacacional,2008173,Zona Centro-Negocios
Carlos,Moreno,56,Hombre,España,Casado,1,3,Empresario,Tecnología,Director,PhD,Temporal,34,64,132997,181434,64880,113871,0,0,230425,755,4275,0,48.78,Medio,Inversión,1914928,Zona Centro-Negocios
Clara,López,33,Mujer,España,Divorciado,2,3,Piloto,Alimentación,Senior,Master,Temporal,11,52,118807,68453,64080,116416,44484,0,165273,582,3087,7363,53.94,Medio,Mixto,1295109,Zona Sur-Inversión
Raquel,Alonso,31,Mujer,España,Soltero,1,0,Desarrollador,Energía,Mid-Level,Licenciatura,Permanente,9,147,53420,28446,31551,23294,0,0,20189,550,1131,0,59.06,Medio,Inversión,281985,Zona Tech-Educación
Mónica,Jiménez,33,Mujer,México,Divorciado,3,2,Diseñador,Alimentación,Senior,Master,Permanente,10,118,87146,63854,66340,21741,0,0,19255,557,1884,0,76.13,Bajo,Inversión,1010964,Zona Sur-Inversión
Daniel,Gómez,31,Hombre,España,Casado,2,0,Chef Ejecutivo,Construcción,Mid-Level,Licenciatura,Permanente,9,29,59161,9481,20346,39524,2876,0,31535,717,1022,11755,34.39,Medio,Residencia,397915,Zona Sur-Inversión
Carlos,Ramírez,61,Hombre,Argentina,Soltero,2,0,Ingeniero Software,Turismo,C-Level,PhD,Permanente,38,51,257334,203116,45146,166864,20562,2160387,2505783,832,7590,0,17.54,Alto,Mixto,5000000,Zona Centro-Negocios
Manuel,Hernández,33,Hombre,Argentina,Divorciado,2,3,Abogado,Tecnología,Mid-Level,Licenciatura,Permanente,10,14,68016,21791,39489,64621,0,0,46923,578,1868,0,58.06,Medio,Inversión,784694,Zona Centro-Negocios
Sara,Ruiz,61,Mujer,Argentina,Soltero,1,0,Abogado,Construcción,Director,Licenciatura,Permanente,39,164,103361,62873,21638,74954,16314,833977,966480,640,2135,0,20.93,Alto,Inversión,4543460,Zona Centro-Negocios
María,Gómez,33,Mujer,USA (Miami),Casado,2,2,Piloto,Finanzas,Mid-Level,Licenciatura,Permanente,10,11,53398,23317,28272,0,0,0,-4955,646,1147,0,52.95,Medio,Vacacional,614958,Zona Residencial-Accesible
Manuel,Serrano,56,Hombre,España,Casado,3,2,Contador,Legal,Director,Bachillerato,Permanente,35,50,90577,103224,106039,144247,27266,0,168698,700,1914,0,117.07,Medio,Residencia,1089121,Zona Residencial-Accesible
José,Hernández,31,Hombre,Perú,Casado,4,0,Arquitecto,Salud,Mid-Level,Bachillerato,Permanente,10,45,35714,19179,39490,20355,2195,0,2239,550,1116,0,110.57,Medio,Inversión,247053,Zona Sur-Inversión
Elena,Gutiérrez,31,Mujer,España,Casado,2,1,Ingeniero Software,Turismo,Senior,Master,Permanente,8,167,83106,18845,11864,31968,4305,0,43254,701,2590,0,14.28,Bajo,Vacacional,503162,Zona Sur-Inversión
Sara,Hernández,31,Mujer,España,Casado,2,1,Arquitecto,Energía,Senior,Master,Permanente,10,65,70503,36007,22862,0,19939,0,33084,730,1974,0,32.43,Bajo,Residencia,399505,Zona Tech-Educación
Marta,Ramírez,33,No-binario,España,Soltero,4,0,Analista Financiero,Aeroespacial,Director,PhD,Temporal,12,34,172499,100248,32041,65642,0,0,133849,831,5731,14095,18.57,Bajo,Residencia,1838888,Zona Centro-Negocios
Rosa,Gil,33,Mujer,México,Casado,1,1,Consultor,Automotriz,Senior,Licenciatura,Permanente,12,30,102928,55546,75652,72245,19926,0,72065,550,3377,0,73.5,Bajo,Vacacional,966226,Zona Centro-Negocios
Francisco,Blanco,33,Hombre,España,Divorciado,2,0,Ingeniero Software,Inmobiliario,Mid-Level,Licenciatura,Permanente,11,21,48472,16421,29546,41015,23062,0,50952,619,1569,0,60.95,Bajo,Vacacional,460017,Zona Residencial-Accesible
Sara,Blanco,56,Mujer,México,Casado,2,1,Contador,Automotriz,Director,PhD,Permanente,35,3,175455,216330,80920,146638,0,0,282048,724,3730,0,46.12,Medio,Vacacional,2441321,Zona Sur-Inversión
María,Torres,31,Mujer,España,Viudo,3,0,Diseñador,Turismo,Mid-Level,Bachillerato,Permanente,10,32,36365,28555,39257,478,0,0,-10224,622,1086,0,107.95,Bajo,Inversión,260109,Zona Tech-Educación
Carlos,Gómez,33,Hombre,USA (Miami),Casado,1,1,Data Scientist,Automotriz,Director,Master,Permanente,12,57,122432,94452,99617,48396,26426,0,69657,558,4000,0,81.37,Bajo,Inversión,1107432,Zona Centro-Negocios
Mónica,Vázquez,56,Mujer,México,Casado,2,0,Analista Financiero,Retail,Director,Licenciatura,Permanente,35,151,143716,159944,141942,323306,0,0,341308,715,4364,0,98.77,Bajo,Inversión,1973701,Zona Centro-Negocios
María,Alonso,33,Mujer,México,Casado,3,1,Chef Ejecutivo,Automotriz,Director,PhD,Permanente,12,50,203395,62818,25729,90253,0,0,127342,682,6564,0,12.65,Bajo,Mixto,2377056,Zona Sur-Inversión
Francisco,Molina,56,Hombre,Venezuela,Soltero,2,0,Médico,Energía,Director,Licenciatura,Permanente,33,143,92484,88226,176294,0,0,0,-88068,594,2509,0,190.62,Bajo,Inversión,932100,Zona Residencial-Accesible
Sofía,Moreno,33,Mujer,Colombia,Divorciado,3,0,Ingeniero Civil,Energía,Senior,Master,Permanente,10,178,103353,116231,35471,84120,0,0,164880,761,1981,29361,34.32,Medio,Vacacional,1009541,Zona Residencial-Accesible
Andrea,Castro,33,Mujer,España,Casado,3,1,Empresario,Educación,Senior,PhD,Permanente,11,63,119292,98249,47208,16929,56147,0,124117,763,3708,0,39.57,Bajo,Mixto,1090257,Zona Centro-Negocios
